"Input Type (Text, audio, text+audio)",Expected Text,Expected Text Audio,"Level (N1,N2,N3)",¿Expected answer? (Yes/No),Date,Text Input,Transcribed Audio Text,ASR time,WER,RAG Answer,Procedure,RAG Status,RAG Error Menssage,¿Answer Correct?(Yes/No),RAG Time,RAG Avg Score,RAG Pages,TTS Time,Total time
Text,Approach,nan,N1,Yes,12/10/2025,Approach,,,,"**Procedure:**

APPROACH

**Conditions:**

Aircraft established on approach path.

**Steps:**

1. The approach mode is armed.

2. The navigation aids are tuned and identified.

3. The flaps are extended as required.

4. The landing gear is extended when cleared.

5. The landing checklist is completed.

**Notes:**

Stabilized approach criteria must be met.",APPROACH,success,,,1.489,1.4667,"[5.0, 4.0, 8.0]",1.469,2.958
Text,Landing,nan,N1,Yes,12/10/2025,Landing,,,,"**Procedure:**

LANDING

**Conditions:**

Aircraft cleared to land.

**Steps:**

1. The landing configuration is confirmed.

2. The autopilot may be disconnected at minimums or earlier.

3. The aircraft is landed smoothly on main landing gear.

4. Reversers and brakes are used as required.

**Notes:**

1. Landing roll is monitored until safe taxi speed is reached.

2. Air Traffic Control is informed as soon as possible.",LANDING,success,,,3.306,1.03,"[5.0, 9.0, 8.0]",1.535,4.841
Text,After Landing,nan,N1,Yes,12/10/2025,After Landing,,,,"**Procedure:**

AFTER LANDING

**Conditions:**

Aircraft has vacated the runway.

**Steps:**

1. The strobe lights are set OFF.

2. The landing lights are set OFF.

3. The APU is started if required.

4. The flaps are retracted.

5. The spoilers are disarmed.

**Notes:**

Ground clearance is obtained before taxiing to stand.",AFTER LANDING,success,,,1.806,0.9467,"[5.0, 5.0, 8.0]",1.125,2.931
Text,Parking and Securing Aircraft,nan,N1,Yes,12/10/2025,Parking and Securing Aircraft,,,,"**Procedure:**

PARKING AND SECURING AIRCRAFT

**Conditions:**

Aircraft parked at gate or stand.

**Steps:**

1. 1. The parking brake is set.

2. 2. The beacon light is set OFF.

3. 3. The engines are shut down with ENGINE MASTER set to OFF.

4. 4. The seat belt signs are set OFF.

5. 5. The external power is connected if available.

6. 6. The ADIRS selectors are set to OFF.

**Notes:**

A full securing checklist is completed before leaving cockpit.",PARKING AND SECURING AIRCRAFT,success,,,2.041,1.1733,"[6.0, 9.0, 5.0]",1.529,3.57
Text,Engine Fire on Ground,nan,N1,Yes,12/10/2025,Engine Fire on Ground,,,,"**Procedure:**

ENGINE FIRE ON GROUND

**Conditions:**

Fire warning in engine during taxi or rejected takeoff.

**Steps:**

1. 1. The ENGINE MASTER of the affected engine is set to OFF.

2. 2. The ENG FIRE pushbutton of the affected engine is pressed.

3. 3. The AGENT 1 pushbutton is discharged.

4. 4. If the fire continues, the AGENT 2 pushbutton is discharged.

5. 5. Air Traffic Control is informed.

**Notes:**

 - If the fire cannot be extinguished, an immediate evacuation is initiated.",ENGINE FIRE ON GROUND,success,,,1.939,0.9133,"[6.0, 6.0, 10.0]",1.528,3.467
Text,Engine Fire in Flight,nan,N1,Yes,12/10/2025,Engine Fire in Flight,,,,"**Procedure:**

ENGINE FIRE IN FLIGHT

**Conditions:**

Fire warning in engine during flight.

**Steps:**

1. 1. The thrust lever of the affected engine is set to IDLE.

2. 2. The ENGINE MASTER of the affected engine is set to OFF.

3. 3. The ENG FIRE pushbutton of the affected engine is pressed.

4. 4. The AGENT 1 pushbutton is discharged.

5. 5. If the fire continues, the AGENT 2 pushbutton is discharged.

6. 6. Speed and altitude are adjusted for a possible immediate landing.

**Notes:**

- Air Traffic Control is contacted for diversion and emergency landing.",ENGINE FIRE IN FLIGHT,success,,,2.274,0.8633,"[6.0, 6.0, 10.0]",1.934,4.208
Text,Rapid Decompression,nan,N1,Yes,12/10/2025,Rapid Decompression,,,,"**Procedure:**

RAPID DECOMPRESSION

**Conditions:**

Sudden loss of cabin pressure.

**Steps:**

1. Oxygen masks are set ON with 100% oxygen.

2. Crew communication is established.

3. An emergency descent is initiated if required.

4. The seat belt signs are set to ON.

5. Cabin crew and passengers are informed.

**Notes:**

A safe altitude below 10,000 ft is reached as soon as possible.",RAPID DECOMPRESSION,success,,,1.813,1.1533,"[7.0, 11.0, 7.0]",1.441,3.254
Text,Stall Recovery,nan,N1,Yes,12/10/2025,Stall Recovery,,,,"**Procedure:**

STALL RECOVERY

**Conditions:**

Indication of stall or stall warning.

**Steps:**

1. Pitch attitude is reduced.

2. Bank angle is leveled.

3. Thrust is applied as required.

4. Speed brakes are retracted.

5. If in landing configuration, flaps are maintained and landing gear is retracted if necessary.

**Notes:**

Aerodynamic recovery is prioritized before any other action.",STALL RECOVERY,success,,,1.575,1.13,"[7.0, 7.0, 9.0]",1.518,3.093
Text,Unreliable Airspeed,nan,N1,Yes,12/10/2025,Unreliable Airspeed,,,,"**Procedure:**

UNRELIABLE AIRSPEED

**Conditions:**

Inconsistent or unreliable speed indications.

**Steps:**

1. 1. The autopilot is set to OFF.

2. 2. The autothrust is set to OFF.

3. 3. The flight directors are set to OFF.

4. 4. Pitch and thrust are adjusted according to reference tables.

5. 5. If necessary, attitude and power are used as the primary reference.

**Notes:**

- Abrupt maneuvers are avoided until reliable parameters are confirmed.",UNRELIABLE AIRSPEED,success,,,2.616,1.3067,"[8.0, 8.0, 11.0]",1.563,4.179
Text,TCAS RA,nan,N1,Yes,12/10/2025,TCAS RA,,,,"**Procedure:**

TCAS RA

**Conditions:**

Resolution advisory from TCAS.

**Steps:**

1. 1. The autopilot is disconnected.

2. 2. The pitch guidance from TCAS is followed.

3. 3. No maneuver is made opposite to the RA order.

4. 4. When clear, the aircraft returns to the original flight path.

**Notes:**

Immediate compliance is mandatory.",TCAS RA,success,,,1.606,1.2067,"[8.0, 3.0, 11.0]",1.041,2.647
Text,Go-Around,nan,N1,Yes,12/10/2025,Go-Around,,,,"**Procedure:**

GO-AROUND

**Conditions:**

Need to abort landing.

**Steps:**

1. The thrust levers are set to TOGA.

2. The flaps are set according to the procedure.

3. When positive climb is confirmed, the landing gear is retracted.

4. The flight path is established.

5. Air Traffic Control is informed.

**Notes:**

The published missed approach procedure is followed.",GO-AROUND,success,,,1.693,1.5867,"[8.0, 11.0, 11.0]",1.323,3.016
Text,Rejected Takeoff,nan,N1,Yes,12/10/2025,Rejected Takeoff,,,,"**Procedure:**

REJECTED TAKEOFF

**Conditions:**

Critical event detected before V1.

**Steps:**

1. The thrust levers are set to IDLE.

2. The reversers are deployed to maximum.

3. Braking is applied to maximum.

4. Air Traffic Control is informed.

5. If required, an evacuation is initiated.

**Notes:**

_No data available_",REJECTED TAKEOFF,success,,,1.398,1.0433,"[9.0, 8.0, 3.0]",1.3,2.698
Text,Ditching,nan,N1,Yes,12/10/2025,Ditching,,,,"**Procedure:**

DITCHING

**Conditions:**

Forced landing on water.

**Steps:**

1. 1. The ditching pushbutton is pressed.

2. 2. Cabin crew and passengers are informed.

3. 3. The approach is configured with landing gear up.

4. 4. The impact is prepared with the brace position.

**Notes:**

- Air Traffic Control and SAR are contacted if possible.",DITCHING,success,,,1.596,1.4533,"[9.0, 5.0, 10.0]",1.426,3.023
Text,Evacuation,nan,N1,Yes,12/10/2025,Evacuation,,,,"**Procedure:**

EVACUATION

**Conditions:**

Order to evacuate the aircraft.

**Steps:**

1. The parking brake is set ON.

2. The evacuation command is initiated.

3. Both engine masters are set to OFF.

4. The APU is set to OFF.

5. Air Traffic Control is informed.

**Notes:**

_No data available_",EVACUATION,success,,,1.369,1.1167,"[9.0, 7.0, 11.0]",0.971,2.34
Text,Loss of Braking,nan,N1,Yes,12/10/2025,Loss of Braking,,,,"**Procedure:**

LOSS OF BRAKING

**Conditions:**

Loss of braking during landing or taxi.

**Steps:**

1. 1. The reversers are set to MAX.

2. 2. Brake pedals are released.

3. 3. The anti-skid and nose wheel steering are set to OFF.

4. 4. Brake pedals are pressed again.

5. 5. If braking is not restored, the parking brake is applied in short intervals.

**Notes:**

_No data available_",LOSS OF BRAKING,success,,,1.768,1.2333,"[10.0, 9.0, 7.0]",1.37,3.138
Text,Smoke or Fumes,nan,N1,Yes,12/10/2025,Smoke or Fumes,,,,"**Procedure:**

SMOKE OR FUMES

**Conditions:**

Detection of smoke or fumes in the cabin or avionics.

**Steps:**

1. 1. Oxygen masks are set ON with 100% oxygen.

2. 2. Crew communication is established.

3. 3. If necessary, smoke or fumes removal procedures are applied.

4. 4. Ventilation conditions are adjusted.

**Notes:**

_No data available_",SMOKE OR FUMES,success,,,1.513,1.3133,"[10.0, 6.0, 6.0]",1.213,2.726
Text,Fuel Leak,nan,N1,Yes,12/10/2025,Fuel Leak,,,,"**Procedure:**

FUEL LEAK

**Conditions:**

Indications of a fuel leak.

**Steps:**

1. The ENGINE MASTER of the affected engine is set to OFF.

2. The IDG of the affected engine is set to OFF.

3. Air Traffic Control is informed.

4. Fuel imbalance is monitored.

**Notes:**

_No data available_",FUEL LEAK,success,,,2.893,1.2467,"[10.0, 7.0, 6.0]",1.306,4.199
Text,Emergency Descent,nan,N1,Yes,12/10/2025,Emergency Descent,,,,"**Procedure:**

EMERGENCY DESCENT

**Conditions:**

Urgent need to lose altitude rapidly.

**Steps:**

1. Oxygen masks are set ON with 100% oxygen.

2. Crew communication is established.

3. Speed is set to maximum or appropriate.

4. Spoilers are set to full.

5. The selected altitude is confirmed and descent is initiated.

**Notes:**

Air Traffic Control is informed as soon as possible.",EMERGENCY DESCENT,success,,,1.666,1.0367,"[11.0, 9.0, 9.0]",1.358,3.024
Text,EGPWS Warning,nan,N1,Yes,12/10/2025,EGPWS Warning,,,,"**Procedure:**

EGPWS WARNING (TERRAIN / PULL UP)

**Conditions:**

Ground proximity warning from EGPWS.

**Steps:**

1. 1. The autopilot is disconnected.

2. 2. The side stick is pulled fully back.

3. 3. Thrust is set to TOGA.

4. 4. Wings are leveled.

5. 5. Configuration is maintained until clear of terrain.

**Notes:**

Visual confirmation of terrain is not attempted before maneuvering.",EGPWS WARNING (TERRAIN / PULL UP),success,,,1.735,1.2967,"[11.0, 10.0, 8.0]",1.302,3.037
Text,Windshear Escape Maneuver,nan,N1,Yes,12/10/2025,Windshear Escape Maneuver,,,,"**Procedure:**

WINDSHEAR ESCAPE MANEUVER

**Conditions:**

Encounter with windshear.

**Steps:**

1. The thrust levers are set to TOGA.

2. The autopilot is kept ON if appropriate.

3. The SRS orders are followed.

4. Configuration is not changed until out of windshear.

**Notes:**

The priority is to avoid loss of control and maintain a safe climb.",WINDSHEAR ESCAPE MANEUVER,success,,,1.539,1.0567,"[11.0, 11.0, 8.0]",0.955,2.495
Text,Preflight Procedure,nan,N1,Yes,12/10/2025,Preflight Procedure,,,,"**Procedure:**

PREFLIGHT PROCEDURE

**Conditions:**

Aircraft is on ground and secured before flight.

**Steps:**

1. The aircraft documents are checked.

2. The circuit breakers are confirmed in normal position.

3. The battery switches are set to ON.

4. The external power is connected if available.

5. The ADIRS selectors are set to NAV.

6. The oxygen pressure is checked.

**Notes:**

Ensure all required equipment is onboard and serviceable.",PREFLIGHT PROCEDURE,success,,,1.744,0.8667,"[1.0, 3.0, 2.0]",1.04,2.784
Text,Cockpit Preparation,nan,N1,Yes,12/10/2025,Cockpit Preparation,,,,"**Procedure:**

COCKPIT PREPARATION

**Conditions:**

Before engine start.

**Steps:**

1. The overhead panel is checked.

2. The fuel quantity is checked.

3. The flight plan is entered into the MCDU.

4. The flight instruments are checked and set.

5. The takeoff performance data is inserted.

6. The briefing is completed.

**Notes:**

All systems must be set according to the flight crew operating manual.",COCKPIT PREPARATION,success,,,1.619,1.0,"[1.0, 4.0, 10.0]",1.097,2.716
Text,Engine Start,nan,N1,Yes,12/10/2025,Engine Start,,,,"**Procedure:**

ENGINE START

**Conditions:**

Aircraft ready for engine start.

**Steps:**

1. The beacon light is set to ON.

2. The parking brake is set.

3. The engine mode selector is set to IGN/START.

4. The engine master switch is set to ON for the engine to be started.

5. Engine parameters are monitored until stabilized.

**Notes:**

Ground crew is informed before start.",ENGINE START,success,,,1.527,1.1067,"[2.0, 6.0, 6.0]",1.021,2.548
Text,Before Taxi,nan,N1,Yes,12/10/2025,Before Taxi,,,,"**Procedure:**

BEFORE TAXI

**Conditions:**

Engines stabilized and ready to taxi.

**Steps:**

1. The ground equipment is cleared.

2. The flaps are set for takeoff.

3. The flight controls are checked.

4. The flight instruments are cross-checked.

5. The taxi clearance is obtained.

**Notes:**

_No data available_",BEFORE TAXI,success,,,1.274,1.06,"[2.0, 2.0, 6.0]",1.071,2.344
Text,Taxi,nan,N1,Yes,12/10/2025,Taxi,,,,"**Procedure:**

TAXI

**Conditions:**

Taxi clearance received.

**Steps:**

1. The taxi lights are set ON.

2. The brakes are checked.

3. The nose wheel steering is confirmed operative.

4. The taxi route is followed as cleared.

**Notes:**

Taxi speed is limited according to airport procedures.",TAXI,success,,,1.275,1.08,"[2.0, 2.0, 6.0]",0.905,2.18
Text,Before Takeoff,nan,N1,Yes,12/10/2025,Before Takeoff,,,,"**Procedure:**

BEFORE TAKEOFF

**Conditions:**

Lined up or ready for takeoff clearance.

**Steps:**

1. The cabin is secured.

2. The takeoff runway is confirmed.

3. The TCAS is set to TA/RA.

4. The packs are set according to requirement.

5. The flight attendants are advised.

**Notes:**

Final takeoff checklist is completed.",BEFORE TAKEOFF,success,,,1.522,0.9633,"[3.0, 3.0, 9.0]",1.175,2.697
Text,Takeoff,nan,N1,Yes,12/10/2025,Takeoff,,,,"**Procedure:**

REJECTED TAKEOFF

**Conditions:**

Critical event detected before V1.

**Steps:**

1. The thrust levers are set to IDLE.

2. The reversers are deployed to maximum.

3. Braking is applied to maximum.

4. Air Traffic Control is informed.

5. If required, an evacuation is initiated.

**Notes:**

_No data available_",REJECTED TAKEOFF,success,,,1.381,1.06,"[9.0, 3.0, 3.0]",0.896,2.277
Text,After Takeoff and Climb,nan,N1,Yes,12/10/2025,After Takeoff and Climb,,,,"**Procedure:**

AFTER TAKEOFF AND CLIMB

**Conditions:**

After initial climb out.

**Steps:**

1. The landing gear is retracted.

2. The flaps and slats are retracted on schedule.

3. The climb thrust is set.

4. The autopilot is engaged if desired.

5. The after takeoff checklist is completed.

**Notes:**

Transition altitude is observed for setting standard pressure.",AFTER TAKEOFF AND CLIMB,success,,,1.521,0.8667,"[3.0, 3.0, 8.0]",0.842,2.363
Text,Cruise,nan,N1,Yes,12/10/2025,Cruise,,,,"**Procedure:**

CRUISE

**Conditions:**

Aircraft established at cruise altitude.

**Steps:**

1. The cruise power is set.

2. The fuel monitoring is performed.

3. The systems are checked regularly.

4. The position reports are made as required.

**Notes:**

Maintain situational awareness at all times.",CRUISE,success,,,1.351,1.63,"[4.0, 1.0, 11.0]",0.86,2.211
Text,Descent Preparation,nan,N1,Yes,12/10/2025,Descent Preparation,,,,"**Procedure:**

DESCENT PREPARATION

**Conditions:**

Aircraft approaching top of descent.

**Steps:**

1. The descent clearance is obtained.

2. The STAR and approach are reviewed and inserted.

3. The landing performance is calculated.

4. The briefing is completed.

5. The seat belt signs are set ON.

**Notes:**

Weather and ATIS information is obtained in advance.",DESCENT PREPARATION,success,,,1.543,1.0567,"[4.0, 11.0, 5.0]",1.008,2.551
Text,Approach,nan,N1,Yes,12/10/2025,Approach,,,,"**Procedure:**

APPROACH

**Conditions:**

Aircraft established on approach path.

**Steps:**

1. The approach mode is armed.

2. The navigation aids are tuned and identified.

3. The flaps are extended as required.

4. The landing gear is extended when cleared.

5. The landing checklist is completed.

**Notes:**

Stabilized approach criteria must be met.",APPROACH,success,,,1.487,1.4667,"[5.0, 4.0, 8.0]",1.018,2.505
Text,Landing,nan,N1,Yes,12/10/2025,Landing,,,,"**Procedure:**

LANDING

**Conditions:**

Aircraft cleared to land.

**Steps:**

1. The landing configuration is confirmed.

2. The autopilot may be disconnected at minimums or earlier.

3. The aircraft is landed smoothly on main landing gear.

4. Reversers and brakes are used as required.

**Notes:**

1. Landing roll is monitored until safe taxi speed is reached.

2. Air Traffic Control is informed as soon as possible.",LANDING,success,,,1.602,1.03,"[5.0, 9.0, 8.0]",1.278,2.88
Text,After Landing,nan,N1,Yes,12/10/2025,After Landing,,,,"**Procedure:**

AFTER LANDING

**Conditions:**

Aircraft has vacated the runway.

**Steps:**

1. The strobe lights are set OFF.

2. The landing lights are set OFF.

3. The APU is started if required.

4. The flaps are retracted.

5. The spoilers are disarmed.

**Notes:**

Ground clearance is obtained before taxiing to stand.",AFTER LANDING,success,,,1.439,0.9467,"[5.0, 5.0, 8.0]",1.001,2.44
Text,Parking and Securing Aircraft,nan,N1,Yes,12/10/2025,Parking and Securing Aircraft,,,,"**Procedure:**

PARKING AND SECURING AIRCRAFT

**Conditions:**

Aircraft parked at gate or stand.

**Steps:**

1. 1. The parking brake is set.

2. 2. The beacon light is set OFF.

3. 3. The engines are shut down with ENGINE MASTER set to OFF.

4. 4. The seat belt signs are set OFF.

5. 5. The external power is connected if available.

6. 6. The ADIRS selectors are set to OFF.

**Notes:**

A full securing checklist is completed before leaving cockpit.",PARKING AND SECURING AIRCRAFT,success,,,1.911,1.1733,"[6.0, 9.0, 5.0]",1.312,3.224
Text,Engine Fire on Ground,nan,N1,Yes,12/10/2025,Engine Fire on Ground,,,,"**Procedure:**

ENGINE FIRE ON GROUND

**Conditions:**

Fire warning in engine during taxi or rejected takeoff.

**Steps:**

1. 1. The ENGINE MASTER of the affected engine is set to OFF.

2. 2. The ENG FIRE pushbutton of the affected engine is pressed.

3. 3. The AGENT 1 pushbutton is discharged.

4. 4. If the fire continues, the AGENT 2 pushbutton is discharged.

5. 5. Air Traffic Control is informed.

**Notes:**

 - If the fire cannot be extinguished, an immediate evacuation is initiated.",ENGINE FIRE ON GROUND,success,,,1.93,0.9133,"[6.0, 6.0, 10.0]",1.475,3.404
Text,Engine Fire in Flight,nan,N1,Yes,12/10/2025,Engine Fire in Flight,,,,"**Procedure:**

ENGINE FIRE IN FLIGHT

**Conditions:**

Fire warning in engine during flight.

**Steps:**

1. 1. The thrust lever of the affected engine is set to IDLE.

2. 2. The ENGINE MASTER of the affected engine is set to OFF.

3. 3. The ENG FIRE pushbutton of the affected engine is pressed.

4. 4. The AGENT 1 pushbutton is discharged.

5. 5. If the fire continues, the AGENT 2 pushbutton is discharged.

6. 6. Speed and altitude are adjusted for a possible immediate landing.

**Notes:**

- Air Traffic Control is contacted for diversion and emergency landing.",ENGINE FIRE IN FLIGHT,success,,,2.131,0.8633,"[6.0, 6.0, 10.0]",1.461,3.592
Text,Rapid Decompression,nan,N1,Yes,12/10/2025,Rapid Decompression,,,,"**Procedure:**

RAPID DECOMPRESSION

**Conditions:**

Sudden loss of cabin pressure.

**Steps:**

1. Oxygen masks are set ON with 100% oxygen.

2. Crew communication is established.

3. An emergency descent is initiated if required.

4. The seat belt signs are set to ON.

5. Cabin crew and passengers are informed.

**Notes:**

A safe altitude below 10,000 ft is reached as soon as possible.",RAPID DECOMPRESSION,success,,,1.71,1.1533,"[7.0, 11.0, 7.0]",1.195,2.906
Text,Stall Recovery,nan,N1,Yes,12/10/2025,Stall Recovery,,,,"**Procedure:**

STALL RECOVERY

**Conditions:**

Indication of stall or stall warning.

**Steps:**

1. Pitch attitude is reduced.

2. Bank angle is leveled.

3. Thrust is applied as required.

4. Speed brakes are retracted.

5. If in landing configuration, flaps are maintained and landing gear is retracted if necessary.

**Notes:**

Aerodynamic recovery is prioritized before any other action.",STALL RECOVERY,success,,,1.537,1.13,"[7.0, 7.0, 9.0]",1.226,2.763
Text,Unreliable Airspeed,nan,N1,Yes,12/10/2025,Unreliable Airspeed,,,,"**Procedure:**

UNRELIABLE AIRSPEED

**Conditions:**

Inconsistent or unreliable speed indications.

**Steps:**

1. 1. The autopilot is set to OFF.

2. 2. The autothrust is set to OFF.

3. 3. The flight directors are set to OFF.

4. 4. Pitch and thrust are adjusted according to reference tables.

5. 5. If necessary, attitude and power are used as the primary reference.

**Notes:**

- Abrupt maneuvers are avoided until reliable parameters are confirmed.",UNRELIABLE AIRSPEED,success,,,1.854,1.3067,"[8.0, 8.0, 11.0]",1.148,3.002
Text,TCAS RA,nan,N1,Yes,12/10/2025,TCAS RA,,,,"**Procedure:**

TCAS RA

**Conditions:**

Resolution advisory from TCAS.

**Steps:**

1. 1. The autopilot is disconnected.

2. 2. The pitch guidance from TCAS is followed.

3. 3. No maneuver is made opposite to the RA order.

4. 4. When clear, the aircraft returns to the original flight path.

**Notes:**

Immediate compliance is mandatory.",TCAS RA,success,,,1.524,1.2067,"[8.0, 3.0, 11.0]",1.141,2.666
Text,Go-Around,nan,N1,Yes,12/10/2025,Go-Around,,,,"**Procedure:**

GO-AROUND

**Conditions:**

Need to abort landing.

**Steps:**

1. The thrust levers are set to TOGA.

2. The flaps are set according to the procedure.

3. When positive climb is confirmed, the landing gear is retracted.

4. The flight path is established.

5. Air Traffic Control is informed.

**Notes:**

The published missed approach procedure is followed.",GO-AROUND,success,,,1.603,1.5867,"[8.0, 11.0, 11.0]",0.941,2.544
Text,Rejected Takeoff,nan,N1,Yes,12/10/2025,Rejected Takeoff,,,,"**Procedure:**

REJECTED TAKEOFF

**Conditions:**

Critical event detected before V1.

**Steps:**

1. The thrust levers are set to IDLE.

2. The reversers are deployed to maximum.

3. Braking is applied to maximum.

4. Air Traffic Control is informed.

5. If required, an evacuation is initiated.

**Notes:**

_No data available_",REJECTED TAKEOFF,success,,,1.399,1.0433,"[9.0, 8.0, 3.0]",1.126,2.525
Text,Ditching,nan,N1,Yes,12/10/2025,Ditching,,,,"**Procedure:**

DITCHING

**Conditions:**

Forced landing on water.

**Steps:**

1. 1. The ditching pushbutton is pressed.

2. 2. Cabin crew and passengers are informed.

3. 3. The approach is configured with landing gear up.

4. 4. The impact is prepared with the brace position.

**Notes:**

- Air Traffic Control and SAR are contacted if possible.",DITCHING,success,,,1.553,1.4533,"[9.0, 5.0, 10.0]",0.98,2.533
Text,Evacuation,nan,N1,Yes,12/10/2025,Evacuation,,,,"**Procedure:**

EVACUATION

**Conditions:**

Order to evacuate the aircraft.

**Steps:**

1. The parking brake is set ON.

2. The evacuation command is initiated.

3. Both engine masters are set to OFF.

4. The APU is set to OFF.

5. Air Traffic Control is informed.

**Notes:**

_No data available_",EVACUATION,success,,,1.336,1.1167,"[9.0, 7.0, 11.0]",0.904,2.241
Text,Car Maintenance,nan,N1,No,12/10/2025,Car Maintenance,,,,The question does not match with the context provided.,,no_match,,,0.457,1.43,"[2.0, 2.0, 10.0]",0.161,0.618
Text,Gardening Tips,nan,N1,No,12/10/2025,Gardening Tips,,,,The question does not match with the context provided.,,no_match,,,0.42,1.7333,"[5.0, 11.0, 6.0]",0.074,0.493
Text,Cooking Pasta,nan,N1,No,12/10/2025,Cooking Pasta,,,,The question does not match with the context provided.,,no_match,,,0.496,1.8367,"[1.0, 3.0, 6.0]",0.074,0.569
